Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,City,State,Country,Postal Code,Market,Region,Product ID,Category,Sub-Category,Product Name,Total amount,Quantity,Discount,Profit,Shipping Cost,Order Priority,unit_price,day,month,year,dayofweek,weekofyear,quarter,lag1,lag7,lag30,rolling7,rolling30,season
39277,CA-2011-103800,04-01-2011,08-01-2011,Standard Class,DP-13000,Darren Powers,Consumer,Houston,Texas,United States,77095,US,Central,OFF-PA-10000174,Office Supplies,Paper,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",16.448,2,0.2,5.5512,1.82,High,8.224,4,1,2011,1,1,1,15.48,27.36,854.49,282.1528914,195.511248,Winter
32036,CA-2011-112326,05-01-2011,09-01-2011,Standard Class,PO-19195,Phillina Ober,Home Office,Naperville,Illinois,United States,60540,US,Central,OFF-LA-10003223,Office Supplies,Labels,Avery 508,11.784,3,0.2,4.2717,0.99,High,3.928,5,1,2011,2,1,1,38.58,15.48,16.71,88.68742857,169.655848,Winter
32037,CA-2011-112326,05-01-2011,09-01-2011,Standard Class,PO-19195,Phillina Ober,Home Office,Naperville,Illinois,United States,60540,US,Central,OFF-ST-10002743,Office Supplies,Storage,SAFCO Boltless Steel Shelving,272.736,3,0.2,-64.7748,13.59,High,90.912,5,1,2011,2,1,1,11.784,16.448,159.444,125.3,173.432248,Winter
32038,CA-2011-112326,05-01-2011,09-01-2011,Standard Class,PO-19195,Phillina Ober,Home Office,Naperville,Illinois,United States,60540,US,Central,OFF-BI-10004094,Office Supplies,Binders,GBC Standard Plastic Binding Systems Combs,3.54,2,0.8,-5.487,0.55,High,1.77,5,1,2011,2,1,1,89.55,139.77,69.3,521.73,278.230048,Winter
33056,CA-2011-141817,06-01-2011,13-01-2011,Standard Class,MB-18085,Mick Brown,Consumer,Philadelphia,Pennsylvania,United States,19143,US,East,OFF-AR-10003478,Office Supplies,Art,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",19.536,3,0.2,4.884,1.85,Low,6.512,6,1,2011,3,1,1,48.78,11.784,211.1805,524.2945714,262.213248,Winter
38777,CA-2011-167199,07-01-2011,11-01-2011,Standard Class,ME-17320,Maria Etezadi,Home Office,Henderson,Kentucky,United States,42420,US,South,OFF-PA-10000955,Office Supplies,Paper,Southworth 25% Cotton Granite Paper & Envelopes,6.54,1,0,3.0084,1.13,High,6.54,7,1,2011,4,1,1,174.33,30.54,27.36,144.3036,247.3628613,Winter
38776,CA-2011-167199,07-01-2011,11-01-2011,Standard Class,ME-17320,Maria Etezadi,Home Office,Henderson,Kentucky,United States,42420,US,South,OFF-FA-10001883,Office Supplies,Fasteners,"Alliance Super-Size Bands, Assorted Sizes",31.12,4,0,0.3112,2.19,High,7.78,7,1,2011,4,1,1,33.39,324.45,17.01,101.6308429,193.9981947,Winter
38773,CA-2011-167199,07-01-2011,11-01-2011,Standard Class,ME-17320,Maria Etezadi,Home Office,Henderson,Kentucky,United States,42420,US,South,OFF-AR-10001662,Office Supplies,Art,Rogers Handheld Barrel Pencil Sharpener,5.48,2,0,1.4796,0.52,High,2.74,7,1,2011,4,1,1,43.04,28.32,37.84,97.34535714,191.8773947,Winter
38775,CA-2011-167199,07-01-2011,11-01-2011,Standard Class,ME-17320,Maria Etezadi,Home Office,Henderson,Kentucky,United States,42420,US,South,TEC-PH-10004539,Technology,Phones,Wireless Extenders zBoost YX545 SOHO Signal Booster,755.96,4,0,204.1092,13.82,High,188.99,7,1,2011,4,1,1,26.43,273.702,11.784,290.5365714,245.1106533,Winter
36624,CA-2011-130813,07-01-2011,09-01-2011,Second Class,LS-17230,Lycoris Saunders,Consumer,Los Angeles,California,United States,90049,US,West,OFF-PA-10002005,Office Supplies,Paper,Xerox 225,19.44,3,0,9.3312,4.37,High,6.48,7,1,2011,4,1,1,18.54,17.76,207.12,283.835,129.5889533,Winter
