customer_id,name,email,phone
RH-19495,Rick Hansen,rh-19495@marketmind.ai,Not Available
JR-16210,Justin Ritter,jr-16210@marketmind.ai,Not Available
CR-12730,Craig Reiter,cr-12730@marketmind.ai,Not Available
KM-16375,Katherine Murray,km-16375@marketmind.ai,Not Available
RH-9495,Rick Hansen,rh-9495@marketmind.ai,Not Available
JM-15655,Jim Mitchum,jm-15655@marketmind.ai,Not Available
TS-21340,Toby Swindell,ts-21340@marketmind.ai,Not Available
MB-18085,Mick Brown,mb-18085@marketmind.ai,Not Available
JW-15220,Jane Waco,jw-15220@marketmind.ai,Not Available
JH-15985,Joseph Holt,jh-15985@marketmind.ai,Not Available
GM-14695,Greg Maxwell,gm-14695@marketmind.ai,Not Available
AJ-10780,Anthony Jacobs,aj-10780@marketmind.ai,Not Available
MM-7260,Magdelene Morse,mm-7260@marketmind.ai,Not Available
VF-21715,Vicky Freymann,vf-21715@marketmind.ai,Not Available
PF-19120,Peter Fuller,pf-19120@marketmind.ai,Not Available
BP-11185,Ben Peterman,bp-11185@marketmind.ai,Not Available
TB-21175,Thomas Boland,tb-21175@marketmind.ai,Not Available
PJ-18835,Patrick Jones,pj-18835@marketmind.ai,Not Available
JS-15685,Jim Sink,js-15685@marketmind.ai,Not Available
RH-9555,Ritsa Hightower,rh-9555@marketmind.ai,Not Available
AB-600,Ann Blume,ab-600@marketmind.ai,Not Available
SA-20830,Sue Ann Reed,sa-20830@marketmind.ai,Not Available
JK-15325,Jason Klamczynski,jk-15325@marketmind.ai,Not Available
LB-16795,Laurel Beltran,lb-16795@marketmind.ai,Not Available
NP-18325,Naresj Patel,np-18325@marketmind.ai,Not Available
VD-21670,Valerie Dominguez,vd-21670@marketmind.ai,Not Available
PB-19210,Phillip Breyer,pb-19210@marketmind.ai,Not Available
EB-14110,Eugene Barchas,eb-14110@marketmind.ai,Not Available
KF-16285,Karen Ferguson,kf-16285@marketmind.ai,Not Available
BP-11230,Benjamin Patterson,bp-11230@marketmind.ai,Not Available
RR-19525,Rick Reed,rr-19525@marketmind.ai,Not Available
BS-11365,Bill Shonely,bs-11365@marketmind.ai,Not Available
JE-15745,Joel Eaton,je-15745@marketmind.ai,Not Available
DP-13105,Dave Poirier,dp-13105@marketmind.ai,Not Available
NP-18700,Nora Preis,np-18700@marketmind.ai,Not Available
AH-30,Aaron Hawkins,ah-30@marketmind.ai,Not Available
DM-13015,Darrin Martin,dm-13015@marketmind.ai,Not Available
GT-14635,Grant Thornton,gt-14635@marketmind.ai,Not Available
